"id","district_no","name","postal_code"
"1","1","Raffles Place, Marina, Cecil, Peopleâ€™s Park","01,02,03,04,05,06"
"2","2","Anson, Tanjong Pagar","07, 08"
"3","3","Queenstown, Tiong Bahru","14, 15, 16"
"4","4","Telok Blangah, Harbourfront","09, 10"
"5","5","Pasir Panjang, Hong Leong Garden, Clementi New Town","11, 12, 13"
"6","6","High Street, Beach Road (part)","17"
"7","7","Middle Road, Golden Mile","18, 19"
"8","8","Little India","20, 21"
"9","9","Orchard, Cairnhill, River Valley","22, 23"
"10","10","Ardmore, Bukit Timah, Holland Road, Tanglin","24, 25, 26, 27"
"11","11","Watten Estate, Novena, Thomson","28, 29, 30"
"12","12","Balestier, Toa Payoh, Serangoon","31, 32, 33"
"13","13","Macpherson, Braddell","34, 35, 36, 37"
"14","14","Geylang, Eunos","38, 39, 40, 41"
"15","15","Katong, Joo Chiat, Amber Road","42, 43, 44, 45"
"16","16","Bedok, Upper East Coast, Eastwood, Kew Drive","46, 47, 48"
"17","17","Loyang, Changi","49, 50, 81"
"18","18","Tampines, Pasir Ris","51, 52"
"19","19","Serangoon Garden, Hougang, Sengkang, Punggol","53, 54, 55, 82"
"20","20","Bishan, Ang Mo Kio","56, 57"
"21","21","Upper Bukit Timah, Clementi Park, Ulu Pandan","58, 59"
"22","22","Jurong","60, 61, 62, 63, 64"
"23","23","Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang","65, 66, 67, 68"
"24","24","Lim Chu Kang, Tengah","69, 70, 71"
"25","25","Krangi, Woodgrove, Woodlands","72, 73"
"26","26","Upper Thomson, Springleaf","77, 78"
"27","27","Yishun, Sembawang","75, 76"
"28","28","Seletar","79, 80"